Run,Brand,Compound,Dimensions,Item,DataOrigin,RimWidth
1,Hoosier,R25B,16x7.5-10,item 43075,TTC Round 8,7 inch
2,Hoosier,R25B,16x7.5-10,item 43075,TTC Round 8,7 inch
4,Hoosier,R25B,16x7.5-10,item 43075,TTC Round 8,7 inch
5,Hoosier,R25B,16x7.5-10,item 43075,TTC Round 8,8 inch
6,Hoosier,R25B,16x7.5-10,item 43075,TTC Round 8,8 inch
7,Hoosier,R25B,16x7.5-10,item 43075,TTC Round 8,8 inch
8,Hoosier,R25B,16x6.0-10,item 43070,TTC Round 8,6 inch
9,Hoosier,R25B,16x6.0-10,item 43070,TTC Round 8,6 inch
10,Hoosier,R25B,16x6.0-10,item 43070,TTC Round 8,6 inch
11,Hoosier,R25B,16x6.0-10,item 43070,TTC Round 8,7 inch
12,Hoosier,R25B,16x6.0-10,item 43070,TTC Round 8,7 inch
13,Hoosier,R25B,16x6.0-10,item 43070,TTC Round 8,7 inch
14,Hoosier,LCO,16x7.5-10,item 43075,TTC Round 8,8 inch
15,Hoosier,LCO,16x7.5-10,item 43075,TTC Round 8,8 inch
16,Hoosier,LCO,16x7.5-10,item 43075,TTC Round 8,8 inch
17,Hoosier,LCO,16x7.5-10,item 43075,TTC Round 8,7 inch
18,Hoosier,LCO,16x7.5-10,item 43075,TTC Round 8,7 inch
19,Hoosier,LCO,16x7.5-10,item 43075,TTC Round 8,7 inch
20,Hoosier,LCO,16x6.0-10,item 43070,TTC Round 8,6 inch
21,Hoosier,LCO,16x6.0-10,item 43070,TTC Round 8,6 inch
22,Hoosier,LCO,16x6.0-10,item 43070,TTC Round 8,6 inch
23,Hoosier,LCO,16x6.0-10,item 43070,TTC Round 8,7 inch
24,Hoosier,LCO,16x6.0-10,item 43070,TTC Round 8,7 inch
25,Hoosier,LCO,16x6.0-10,item 43070,TTC Round 8,7 inch
30,Goodyear,FSAE,20x7.0-13,D2704,TTC Round 8,7 inch
31,Goodyear,FSAE,20x7.0-13,D2704,TTC Round 8,7 inch
32,Goodyear,FSAE,20x7.0-13,D2704,TTC Round 8,7 inch
35,Continental,C19,205/470R13,item 43329,TTC Round 8,7 inch
36,Continental,C19,205/470R13,item 43329,TTC Round 8,7 inch
37,Continental,C19,205/470R13,item 43329,TTC Round 8,7 inch
41,Goodyear,FSAE,20x7.0-13,D2704,TTC Round 8,8 inch
42,Goodyear,FSAE,20x7.0-13,D2704,TTC Round 8,8 inch
44,Goodyear,FSAE,20x7.0-13,D2704,TTC Round 8,8 inch
46,Goodyear,FSAE,20x7.0-13,D2704,TTC Round 8,7 inch
